1,Санкт-Петербург,81444,35772,2.28,11577,5191690,448
3,Республика Адыгея,42528,17722,2.4,1374,449171,326
4,Республика Башкортостан,42398,21685,1.96,7272,4071987,559
5,Республика Бурятия,42513,23357,1.82,1642,978495,595
6,Республика Алтай,43834,17640,2.48,1637,213703,130
8,Республика Ингушетия,29930,17153,1.74,847,463893,547
9,Кабардино-Балкарская Республика,35416,15957,2.22,1833,860709,469
11,Карачаево-Черкесская республика,35205,15644,2.25,1205,469060,389
12,Республика Карелия,52675,24891,2.12,2298,632533,275
13,Республика Коми,66040,33795,1.95,4076,864424,212
17,Республика Северная Осетия — Алания,40035,16333,2.45,1130,705270,624
18,Республика Татарстан,36297,22517,1.61,10890,3855037,353
20,Удмуртская республика,35516,20595,1.72,2462,1517472,616
21,Республика Хакасия,58398,23750,2.46,1952,535796,274
24,Алтайский край,33370,15930,2.09,5485,2384812,434
27,Краснодарский край,47576,21861,2.18,15953,5453329,341
28,Красноярский край,46616,28449,1.64,8423,2858773,339
29,Пермский край,42428,24726,1.72,7424,2637032,355
32,Хабаровский край,67157,31430,2.14,2575,1338305,519
33,Амурская область,48650,28277,1.72,3252,809873,249
35,Брянская область,37371,17675,2.11,2375,1232940,519
36,Владимирская область,45577,20888,2.18,2313,1405613,607
37,Архангельская область,56401,27763,2.03,3903,1139950,292
38,Астраханская область,45257,19151,2.36,1730,1021287,590
41,Волгоградская область,42952,20286,2.12,6305,2557397,405
42,Вологодская область,44119,23445,1.88,3367,1191010,353
43,Воронежская область,45535,20798,2.19,5300,2331147,439
44,Забайкальский край,49765,22909,2.17,3197,1087452,340
45,Иркутская область,57802,27729,2.08,5833,2414913,414
46,Калининградская область,49159,23868,2.06,2759,968944,351
47,Республика Калмыкия,40929,15172,2.7,911,280564,307
48,Камчатский край,109810,46591,2.36,1911,317269,166
50,Кемеровская область,42127,24157,1.74,2995,2724990,909
51,Кировская область,34630,18515,1.87,4729,1304348,275
53,Костромская область,35092,18536,1.89,2232,654390,293
55,Курская область,35983,18990,1.89,5351,1117378,208
56,Ленинградская область,61952,29544,2.1,3798,1775540,467
57,Липецкая область,38999,20731,1.88,4113,1157865,281
58,Магаданская область,98899,47077,2.1,1390,148071,106
59,Республика Дагестан,42336,13762,3.08,1491,2990371,2005
61,Республика Марий Эл,37836,16623,2.28,2286,687435,300
62,Республика Мордовия,34431,17356,1.98,3069,808888,263
63,Москва,95076,46536,2.04,12242,12197596,996
64,Московская область,72194,32946,2.19,6392,7231068,1131
65,Мурманская область,79639,35757,2.23,2060,766281,371
66,Нижегородская область,45638,22560,2.02,7722,3270203,423
67,Новгородская область,43093,22284,1.93,2050,618703,301
68,Новосибирская область,42376,24395,1.74,5062,2746822,542
69,Омская область,39087,20255,1.93,3334,1978183,593
70,Орловская область,38671,17818,2.17,2215,765231,345
72,Пензенская область,49301,19465,2.53,2022,1355618,670
74,Приморский край,54700,28038,1.95,5336,1933308,362
75,Псковская область,38834,17527,2.22,2329,651108,279
76,Ростовская область,40821,20327,2.01,5771,4242080,735
77,Самарская область,45161,23128,1.95,6190,3212676,519
79,Саратовская область,38939,18325,2.12,2644,2493024,942
80,Свердловская область,50804,26619,1.91,8581,4327472,504
81,Ставропольский край,41526,18301,2.27,8377,2799473,334
82,Тамбовская область,32532,17558,1.85,3644,1062421,291
84,Тульская область,48964,23717,2.06,4864,1513570,311
85,Республика Тува (Тыва),49542,18283,2.71,888,313777,353
86,Тюменская область,70997,28920,2.45,1436,1429232,995
88,Ульяновская область,39413,18916,2.08,2267,1262549,556
89,Челябинская область,44227,23263,1.9,5442,3497274,642
90,Чеченская республика,38093,17044,2.23,1231,1370268,1113
91,Чувашская республика - Чувашия,28003,17443,1.61,2179,1238071,568
92,Республика Саха (Якутия),88979,39589,2.25,3041,956896,314
93,Еврейская автономная область,79102,25417,3.11,1279,168368,131
94,Сахалинская область,94748,44422,2.13,2452,488391,199
95,Чукотский автономный округ,105300,56841,1.85,722,50540,70
96,Белгородская область,38953,22050,1.77,5770,1547936,268
97,Калужская область,41541,24973,1.66,4185,1010486,241
98,Курганская область,25955,16822,1.54,5172,869814,168
99,Ивановская область,39813,17210,2.31,2466,1036909,420
100,Смоленская область,37464,18992,1.97,2515,964791,383
101,Тверская область,39813,19894,2.0,4322,1315071,304
102,Ненецкий автономный округ,139189,54501,2.55,322,43373,134
103,Рязанская область,41591,21101,1.97,3860,1135438,294
104,Ямало-Ненецкий автономный округ,158995,62732,2.53,3893,539985,138
105,Оренбургская область,43022,19433,2.21,4540,2001110,440
106,Томская область,62108,25835,2.4,1914,1074453,561
107,Ярославская область,44075,22932,1.92,3993,1271629,318
108,Ханты-Мансийский автономный округ — Югра,109284,47957,2.28,1419,1612076,1136
109,Республика Крым*,36527,16897,2.16,3208,1895915,590
110,Севастополь*,48364,16832,2.87,338,398973,1180
